Kategorie;Korrektes Wort;Wort mit Lücke;korrekte Füllung;Mögliche Füllungen
s-Laute;Straße;Stra__e;ß;s, ss, ß
s-Laute;Kuss;Ku__;ss;s, ss, ß
s-Laute;essen;e__en;ss;s, ss, ß
s-Laute;Frisur;Fri__ur;s;s, ss, ß
s-Laute;Nüsse;Nü__e;ss;s, ss, ß
s-Laute;Fluss;Flu__;ss;s, ss, ß
s-Laute;Glas;Gla__;s;s, ss, ß
s-Laute;Besen;Be__en;s;s, ss, ß
s-Laute;Schloss;Schlo__;ss;s, ss, ß
s-Laute;Fuß;Fu__;ß;s, ss, ß
s-Laute;Messer;Me__er;ss;s, ss, ß
s-Laute;Kissen;Ki__en;ss;s, ss, ß
s-Laute;Blase;Bla__e;s;s, ss, ß
s-Laute;Reise;Rei__e;s;s, ss, ß
s-Laute;Tasse;Ta__e;ss;s, ss, ß
z oder tz;Katze;Ka__e;tz;z, tz
z oder tz;tanzen;tan__en;z;z, tz
z oder tz;Platz;Pla__;tz;z, tz
z oder tz;Glanz;Glan__;z;z, tz
z oder tz;petzen;pe__en;tz;z, tz
z oder tz;Kerze;Ker__e;z;z, tz
z oder tz;Blitz;Bli__;tz;z, tz
z oder tz;Pflanze;Pflan__e;z;z, tz
z oder tz;Mütze;Mü__e;tz;z, tz
z oder tz;kitzeln;ki__eln;tz;z, tz
z oder tz;Spitze;Spi__e;tz;z, tz
z oder tz;Sitz;Si__;z;z, tz
z oder tz;Scherz;Scher__;z;z, tz
s-Laute;Kissen;Ki__en;ss;s, ss, ß
k oder ck;Locken;Lo__en;ck;k, ck
k oder ck;tanken;tan_en;k;k, ck
k oder ck;Röcke;Rö__e;ck;k, ck
k oder ck;Ecke;E__e;ck;k, ck
k oder ck;Socke;So__e;ck;k, ck
k oder ck;lenken;len_en;k;k, ck
k oder ck;backen;ba__en;ck;k, ck
k oder ck;stark;star__;k;k, ck
k oder ck;Handwerker;Handwer_er;k;k, ck
k oder ck;Lücke;Lü__e;ck;k, ck
k oder ck;Marke;Mar__e;k;k, ck
k oder ck;Danke;Dan__e;k;k, ck
i oder ie;spielen;sp__len;ie;i, ie
i oder ie;schwimmen;schw__mmen;i;i, ie
i oder ie;Biene;B__ne;ie;i, ie
i oder ie;Licht;L__cht;i;i, ie
i oder ie;Wiese;W__se;ie;i, ie
i oder ie;springen;spr__ngen;i;i, ie
i oder ie;Witze;W__tze;i;i, ie
i oder ie;Fieber;F__ber;ie;i, ie
i oder ie;fliegen;fl__gen;ie;i, ie
i oder ie;Riese;R__se;ie;i, ie
Dinosaurier;Ankylosaurus;Ank__losaurus;y;ü, y
Dinosaurier;Triceratops;Tri__eratops;c;c, z
Dinosaurier;Brachiosaurus;Brachiosauru__;s;s, ss, ß
Dinosaurier;Tyrannosaurus Rex;Tyra__osaurus Rex;nn;n, nn
Dinosaurier;Stegosaurus;Ste__osaurus;g;g, k
Dinosaurier;Velociraptor;__elociraptor;V;V, W
Dinosaurier;Allosaurus;A__osaurus;ll;l, ll
Dinosaurier;Diplodocus;Diplodo__us;c;c, k
Dinosaurier;Spinosaurus;Sp__nosaurus;i;i, ie
Dinosaurier;Pteranodon;Pteranod__n;o;o, oh
